2021-06-05 16:31:23 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:23 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 107/32, 17/32)
2021-06-05 16:31:23 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:23 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 108/32, 17/32)
2021-06-05 16:31:23 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:24 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 100/32, 20/32)
2021-06-05 16:31:24 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:24 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 101/32, 20/32)
2021-06-05 16:31:24 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:24 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 101/32, 21/32)
2021-06-05 16:31:24 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:25 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 92/32, 29/32)
2021-06-05 16:31:25 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:25 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 92/32, 29/32)
2021-06-05 16:31:25 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:25 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 92/32, 29/32)
2021-06-05 16:31:25 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:26 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 99/32, 21/32)
2021-06-05 16:31:26 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:26 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 99/32, 21/32)
2021-06-05 16:31:26 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:26 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 100/32, 22/32)
2021-06-05 16:31:26 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:26 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 100/32, 23/32)
2021-06-05 16:31:26 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:27 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
2021-06-05 16:31:27 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:27 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
2021-06-05 16:31:27 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:27 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
2021-06-05 16:31:27 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:28 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 99/32, 23/32)
2021-06-05 16:31:28 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:28 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 99/32, 23/32)
2021-06-05 16:31:28 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:28 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 100/32, 23/32)
2021-06-05 16:31:28 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:28 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 100/32, 23/32)
2021-06-05 16:31:28 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:29 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
2021-06-05 16:31:29 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:29 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 91/32, 29/32)
